"","fips","SCC","Pollutant","Emissions","type","year"
"301","01091","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"302","01091","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"303","01093","10100101","PM25-PRI",0.269,"POINT",1999
"304","01093","2102002000","PM25-PRI",0.066,"NONPOINT",1999
"305","01093","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"306","01093","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"307","01095","2102002000","PM25-PRI",0.811,"NONPOINT",1999
"308","01095","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"309","01095","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"310","01097","10100101","PM25-PRI",0.648,"POINT",1999
"311","01097","10100201","PM25-PRI",3145.28,"POINT",1999
"312","01097","2102002000","PM25-PRI",2.052,"NONPOINT",1999
"313","01097","2103001000","PM25-PRI",0.268,"NONPOINT",1999
"314","01097","2103002000","PM25-PRI",0.164,"NONPOINT",1999
"315","01099","2102002000","PM25-PRI",0.418,"NONPOINT",1999
"316","01099","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"317","01099","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"318","01101","2102002000","PM25-PRI",1.371,"NONPOINT",1999
"319","01101","2103001000","PM25-PRI",0.186,"NONPOINT",1999
"320","01101","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"321","01103","10100101","PM25-PRI",0.11,"POINT",1999
"322","01103","10200204","PM25-PRI",10.634,"POINT",1999
"323","01103","2102002000","PM25-PRI",1.339,"NONPOINT",1999
"324","01103","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"325","01103","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"326","01105","2102002000","PM25-PRI",0.197,"NONPOINT",1999
"327","01105","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"328","01105","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"329","01107","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"330","01107","2103001000","PM25-PRI",0.033,"NONPOINT",1999
"331","01107","2103002000","PM25-PRI",0.03,"NONPOINT",1999
"332","01109","2102002000","PM25-PRI",0.111,"NONPOINT",1999
"333","01109","2103001000","PM25-PRI",0.086,"NONPOINT",1999
"334","01109","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"335","01111","2102002000","PM25-PRI",0.077,"NONPOINT",1999
"336","01111","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"337","01111","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"338","01113","2102002000","PM25-PRI",0.296,"NONPOINT",1999
"339","01113","2103001000","PM25-PRI",0.097,"NONPOINT",1999
"340","01113","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"341","01115","2102002000","PM25-PRI",0.034,"NONPOINT",1999
"342","01115","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"343","01115","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"344","01117","10100101","PM25-PRI",0.108,"POINT",1999
"345","01117","10100202","PM25-PRI",2791.625,"POINT",1999
"346","01117","10100212","PM25-PRI",2421.342,"POINT",1999
"347","01117","2102002000","PM25-PRI",22.628,"NONPOINT",1999
"348","01119","2102002000","PM25-PRI",0.209,"NONPOINT",1999
"349","01119","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"350","01119","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"351","01121","10200201","PM25-PRI",22.13,"POINT",1999
"352","01121","2102002000","PM25-PRI",0.307,"NONPOINT",1999
"353","01121","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"354","01121","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"355","01123","10100101","PM25-PRI",0.607,"POINT",1999
"356","01123","2102002000","PM25-PRI",0.296,"NONPOINT",1999
"357","01123","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"358","01123","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"359","01125","2102002000","PM25-PRI",0.449,"NONPOINT",1999
"360","01125","2103001000","PM25-PRI",0.083,"NONPOINT",1999
"361","01125","2103002000","PM25-PRI",0.047,"NONPOINT",1999
"362","01127","10100201","PM25-PRI",5206.986,"POINT",1999
"363","01127","2102002000","PM25-PRI",0.098,"NONPOINT",1999
"364","01127","2103001000","PM25-PRI",0.041,"NONPOINT",1999
"365","01127","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"366","01129","10100101","PM25-PRI",0.602,"POINT",1999
"367","01129","10100202","PM25-PRI",728.003,"POINT",1999
"368","01129","2102002000","PM25-PRI",0.007,"NONPOINT",1999
"369","01129","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"370","01129","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"371","01131","10200201","PM25-PRI",31.817,"POINT",1999
"372","01131","2102002000","PM25-PRI",0.406,"NONPOINT",1999
"373","01131","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"374","01131","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"375","01133","10100101","PM25-PRI",1.619,"POINT",1999
"376","01133","2102002000","PM25-PRI",0.044,"NONPOINT",1999
"377","01133","2103001000","PM25-PRI",0.054,"NONPOINT",1999
"378","01133","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"379","12001","10100202","PM25-PRI",212.199,"POINT",1999
"380","12001","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"381","12001","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"382","12005","10100212","PM25-PRI",2994.966,"POINT",1999
"383","12005","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"384","12009","2103001000","PM25-PRI",0.036,"NONPOINT",1999
"385","12009","2103002000","PM25-PRI",0.017,"NONPOINT",1999
"386","12011","2103001000","PM25-PRI",0.583,"NONPOINT",1999
"387","12011","2103002000","PM25-PRI",0.067,"NONPOINT",1999
"388","12015","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"389","12017","10100202","PM25-PRI",2403.605,"POINT",1999
"390","12017","10100212","PM25-PRI",2310.23,"POINT",1999
"391","12017","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"392","12019","2103001000","PM25-PRI",0.032,"NONPOINT",1999
"393","12021","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"394","12021","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"395","12023","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"396","12031","10100202","PM25-PRI",1065.486,"POINT",1999
"397","12031","10100218","PM25-PRI",128.708,"POINT",1999
"398","12031","2103001000","PM25-PRI",0.367,"NONPOINT",1999
"399","12031","2103002000","PM25-PRI",0.154,"NONPOINT",1999
"400","12033","10100202","PM25-PRI",1855.72,"POINT",1999
"401","12033","10100212","PM25-PRI",230.083,"POINT",1999
"402","12033","10200202","PM25-PRI",55.698,"POINT",1999
"403","12033","2103001000","PM25-PRI",0.036,"NONPOINT",1999
"404","12033","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"405","12039","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"406","12053","10200219","PM25-PRI",3,"POINT",1999
"407","12053","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"408","12055","2103001000","PM25-PRI",0.011,"NONPOINT",1999
"409","12057","10100201","PM25-PRI",3326.424,"POINT",1999
"410","12057","10100212","PM25-PRI",442.813,"POINT",1999
"411","12057","2103001000","PM25-PRI",0.411,"NONPOINT",1999
